Population,Generation,Low,Medium
16, 0, 224, 28
16, 1, 90, 2
16, 2, 84, 0
16, 3, 84, 2
16, 4, 92, 0
16, 5, 86, 0
16, 6, 84, 0
16, 7, 81, 0
16, 8, 79, 0
16, 9, 87, 2
16, 10, 86, 0
16, 11, 89, 2
16, 12, 86, 2
16, 13, 81, 2
16, 14, 86, 2
16, 15, 81, 2
16, 16, 81, 0
16, 17, 81, 0
16, 18, 84, 2
16, 19, 79, 0
16, 20, 84, 0
16, 21, 81, 0
16, 22, 90, 4
16, 23, 84, 0
16, 24, 83, 2
16, 25, 81, 0
16, 26, 84, 0
16, 27, 81, 0
16, 28, 87, 0
16, 29, 88, 4
16, 30, 79, 0
16, 31, 84, 2
16, 0, 242, 22
16, 1, 92, 2
16, 2, 84, 2
16, 3, 81, 0
16, 4, 86, 2
16, 5, 91, 2
16, 6, 84, 0
16, 7, 92, 2
16, 8, 81, 2
16, 9, 81, 0
16, 10, 79, 0
16, 11, 84, 2
16, 12, 84, 2
16, 13, 79, 0
16, 14, 79, 0
16, 15, 88, 2
16, 16, 84, 0
16, 17, 87, 2
16, 18, 81, 2
16, 19, 84, 0
16, 20, 82, 0
16, 21, 88, 0
16, 22, 89, 0
16, 23, 85, 0
16, 24, 84, 0
16, 25, 81, 0
16, 26, 83, 2
16, 27, 79, 0
16, 28, 81, 0
16, 29, 92, 2
16, 30, 88, 0
16, 31, 82, 0
16, 0, 236, 24
16, 1, 88, 2
16, 2, 79, 0
16, 3, 89, 0
16, 4, 90, 2
16, 5, 88, 0
16, 6, 82, 0
16, 7, 84, 0
16, 8, 82, 0
16, 9, 85, 0
16, 10, 88, 4
16, 11, 88, 0
16, 12, 79, 0
16, 13, 91, 6
16, 14, 84, 0
16, 15, 87, 2
16, 16, 83, 0
16, 17, 88, 2
16, 18, 92, 4
16, 19, 90, 2
16, 20, 81, 0
16, 21, 84, 2
16, 22, 82, 0
16, 23, 87, 0
16, 24, 81, 2
16, 25, 84, 0
16, 26, 84, 0
16, 27, 79, 0
16, 28, 85, 0
16, 29, 83, 0
16, 30, 84, 0
16, 31, 84, 2
16, 0, 236, 6
16, 1, 82, 0
16, 2, 79, 0
16, 3, 86, 4
16, 4, 92, 2
16, 5, 81, 0
16, 6, 81, 2
16, 7, 90, 2
16, 8, 88, 0
16, 9, 84, 0
16, 10, 87, 2
16, 11, 87, 2
16, 12, 81, 0
16, 13, 86, 2
16, 14, 79, 0
16, 15, 90, 2
16, 16, 85, 0
16, 17, 90, 2
16, 18, 82, 0
16, 19, 86, 2
16, 20, 89, 2
16, 21, 89, 2
16, 22, 84, 0
16, 23, 81, 0
16, 24, 81, 0
16, 25, 82, 0
16, 26, 82, 0
16, 27, 81, 2
16, 28, 85, 4
16, 29, 85, 0
16, 30, 79, 0
16, 31, 86, 4
32, 0, 712, 36
32, 1, 284, 2
32, 2, 271, 4
32, 3, 267, 2
32, 4, 267, 0
32, 5, 272, 0
32, 6, 268, 4
32, 7, 263, 4
32, 8, 263, 2
32, 9, 263, 2
32, 10, 263, 2
32, 11, 272, 2
32, 12, 274, 4
32, 13, 265, 2
32, 14, 271, 0
32, 15, 260, 2
32, 16, 273, 6
32, 17, 269, 4
32, 18, 262, 4
32, 19, 261, 0
32, 20, 262, 2
32, 21, 268, 4
32, 22, 262, 0
32, 23, 270, 2
32, 24, 265, 2
32, 25, 271, 2
32, 26, 264, 2
32, 27, 263, 0
32, 28, 263, 0
32, 29, 272, 8
32, 30, 267, 0
32, 31, 273, 2
32, 0, 731, 38
32, 1, 280, 0
32, 2, 255, 0
32, 3, 269, 6
32, 4, 259, 4
32, 5, 266, 0
32, 6, 257, 2
32, 7, 257, 2
32, 8, 261, 4
32, 9, 268, 2
32, 10, 265, 4
32, 11, 260, 2
32, 12, 261, 4
32, 13, 258, 0
32, 14, 263, 2
32, 15, 266, 2
32, 16, 265, 2
32, 17, 266, 0
32, 18, 267, 4
32, 19, 273, 2
32, 20, 271, 2
32, 21, 266, 2
32, 22, 262, 2
32, 23, 263, 6
32, 24, 264, 0
32, 25, 270, 6
32, 26, 263, 2
32, 27, 255, 0
32, 28, 261, 0
32, 29, 260, 2
32, 30, 275, 0
32, 31, 265, 2
16, 0, 227, 12
16, 1, 96, 0
16, 2, 86, 2
16, 3, 81, 2
16, 4, 83, 4
16, 5, 84, 0
16, 6, 84, 2
16, 7, 91, 0
16, 8, 82, 0
16, 9, 90, 4
16, 10, 84, 0
16, 11, 79, 0
16, 12, 84, 2
16, 13, 79, 0
16, 14, 85, 0
16, 15, 87, 0
16, 16, 81, 0
16, 17, 92, 2
16, 18, 82, 0
16, 19, 82, 0
